Age,Job,Marital_Status,Education,Default_On_Payments,Housing,Loan,Contact,Last_Int_Duration,Int_Nr_Campaign,Passed_Days_Last_Int,Int_Prior_Campaign,Last_Campaign_Outcome,Rate_Change_Employment,Cons_Price_Idx,Cons_Conf_Idx,Euribor_3_Months,Nr_Employed,Product_Or_Service,Date,Contact_Year,Contact_Month,Contact_Day,Quarter,Income,Customer_Seniority,Numwebvisitsmonth,Total_Children,Customer_Seniority_Days,Id
39.0,housemaid,married,basic_4_years,No,No,No,telephone,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-08-02,2019,8,Friday,3,161770,2012-04-04,29,1,1001,089b39d8-e4d0-461b-87d4-814d71e0e079
57.0,services,married,high_school,No,No,No,telephone,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-09-14,2016,9,Wednesday,3,85477,2012-12-30,7,2,731,e9d37224-cb6f-4942-98d7-46672963d097
37.0,services,married,high_school,No,Yes,No,telephone,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-02-15,2019,2,Friday,1,147233,2012-02-02,5,2,1063,3f9f49b5-e410-4948-bf6e-f9244f04918b
40.0,admin.,married,basic_6_years,No,No,No,telephone,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-11-29,2015,11,Sunday,4,121393,2012-12-21,29,3,740,9991fafb-4447-451a-8be2-b0df6098d13e
56.0,services,married,high_school,No,No,Yes,telephone,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-01-29,2017,1,Sunday,1,63164,2012-06-20,20,3,924,eca60b76-70b6-4077-80ba-bc52e8ebb0eb
45.0,services,married,basic_9_years,No,No,No,telephone,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-09-26,2015,9,Saturday,3,143854,2012-01-24,26,1,1072,d63ede72-0b6d-45b1-8872-385ac6897f65
59.0,admin.,married,professional_course,No,No,No,telephone,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-01-25,2019,1,Friday,1,76439,2012-08-15,3,1,868,5e3483e5-236d-437d-8351-541f9d09b9dd
39.0,blue-collar,married,unknown,No,No,No,telephone,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-09-25,2017,9,Monday,3,159686,2012-12-10,21,2,751,87fdc08b-30ae-4dab-803f-561ecdf27ff0
24.0,technician,single,professional_course,No,Yes,No,telephone,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-01-18,2018,1,Thursday,1,179933,2012-08-22,18,0,861,87b79988-2be5-419d-88f4-56655852c565
25.0,services,single,high_school,No,Yes,No,telephone,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-11-02,2016,11,Wednesday,4,77504,2012-02-09,18,1,1056,ea6b7d04-9271-4c0a-a01f-07795d164aba
41.0,blue-collar,married,unknown,No,No,No,telephone,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-11-30,2015,11,Monday,4,92882,2012-01-05,9,2,1091,8d700df5-0c33-4517-8cf8-92e1c92c9c12
25.0,services,single,high_school,No,Yes,No,telephone,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-04-17,2016,4,Sunday,2,84813,2012-06-06,30,1,938,ca5c0d7a-8bbd-42b3-8351-1074c5be011a
29.0,blue-collar,single,high_school,No,No,Yes,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-06-14,2016,6,Tuesday,2,102006,2012-03-24,18,1,1012,66a752e2-b2f1-440c-9a8f-cc3b10d74dd0
57.0,housemaid,divorced,basic_4_years,No,Yes,No,telephone,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-08-25,2015,8,Tuesday,3,140801,2012-02-11,32,3,1054,54b1ea8a-a909-45d9-9562-775b64ac9c29
35.0,blue-collar,married,basic_6_years,No,Yes,No,telephone,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-09-19,2016,9,Monday,3,73262,2012-09-10,27,4,842,3a7b7570-aba9-40bc-9f80-3433d064b5b7
54.0,retired,married,basic_9_years,No,Yes,Yes,telephone,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-01-03,2016,1,Sunday,1,117422,2012-04-05,15,3,1000,c93f0774-c122-421b-ac44-2041dcc43609
35.0,blue-collar,married,basic_6_years,No,Yes,No,telephone,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-02-28,2018,2,Wednesday,1,70235,2012-03-11,27,2,1025,8f63b4b2-6190-4fbe-a041-b0c472c596c7
